               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.065316,            0.015804,           0.0091957,             0.93227,              0.7821,             0.84882,             0.44435,            0.021244,           0.0038344,           0.0019712,            0.070029,           0.0033302,           0.0033302
                   1,            0.042978,           0.0093934,           0.0041489,             0.89672,             0.74507,             0.79392,             0.35788,             0.02398,            0.003468,           0.0019904,            0.040012,            0.006647,            0.006647
                   2,            0.037933,           0.0088349,           0.0037506,             0.88659,             0.76307,             0.81971,             0.42333,            0.022042,           0.0037597,           0.0016424,           0.0099791,           0.0099473,           0.0099473
                   3,            0.033354,           0.0083068,           0.0033877,             0.92533,             0.80252,              0.8654,             0.47689,            0.020041,           0.0032367,            0.001348,           0.0099258,           0.0099258,           0.0099258
                   4,            0.030093,           0.0077726,           0.0031625,             0.90053,             0.81907,             0.85947,              0.4775,            0.020251,           0.0033053,           0.0015855,           0.0099258,           0.0099258,           0.0099258
                   5,            0.028698,           0.0074797,           0.0030281,             0.92654,              0.7957,             0.85638,             0.49448,            0.019776,           0.0034095,           0.0014588,            0.009901,            0.009901,            0.009901
                   6,            0.027643,           0.0072464,           0.0030039,             0.92862,             0.79708,             0.85978,             0.49764,            0.019538,           0.0034117,            0.001302,           0.0098763,           0.0098763,           0.0098763
                   7,             0.02696,           0.0070962,           0.0029686,             0.92653,             0.81997,             0.87209,             0.50014,            0.019183,           0.0033245,           0.0014717,           0.0098515,           0.0098515,           0.0098515
                   8,            0.026506,           0.0070426,           0.0029422,             0.93519,             0.81276,             0.87129,             0.51342,            0.019057,           0.0033391,           0.0014186,           0.0098268,           0.0098268,           0.0098268
                   9,            0.025909,           0.0069507,           0.0028887,             0.93499,             0.81908,             0.87642,              0.5117,            0.019165,           0.0031659,           0.0013819,            0.009802,            0.009802,            0.009802
                  10,            0.025732,            0.006881,           0.0028749,             0.92864,             0.82015,             0.87805,             0.52972,            0.018499,           0.0033168,           0.0013064,           0.0097773,           0.0097773,           0.0097773
                  11,            0.025268,           0.0068131,           0.0028442,             0.93732,             0.81733,             0.87553,             0.51171,            0.019119,           0.0032984,           0.0013912,           0.0097525,           0.0097525,           0.0097525
                  12,            0.025161,           0.0067681,           0.0028614,             0.91315,             0.81766,             0.86887,             0.50962,            0.018939,           0.0032414,            0.001322,           0.0097278,           0.0097278,           0.0097278
                  13,            0.024966,           0.0067419,           0.0028297,             0.90715,             0.81539,             0.86791,             0.51104,            0.018726,           0.0033115,           0.0014284,            0.009703,            0.009703,            0.009703
                  14,             0.02481,           0.0066941,           0.0028089,             0.91232,             0.81844,             0.87558,             0.52129,            0.018581,           0.0033018,           0.0014629,           0.0096783,           0.0096783,           0.0096783
                  15,            0.024594,           0.0066765,            0.002785,             0.92559,             0.82626,             0.87904,              0.5173,            0.018747,           0.0032027,           0.0013734,           0.0096535,           0.0096535,           0.0096535
                  16,            0.024289,           0.0066072,           0.0027447,               0.922,             0.82016,             0.87479,             0.52425,            0.018656,           0.0032261,           0.0013457,           0.0096288,           0.0096288,           0.0096288
                  17,            0.024167,           0.0065726,           0.0027389,             0.91067,             0.82176,             0.87129,             0.51743,            0.018792,           0.0032684,           0.0013518,            0.009604,            0.009604,            0.009604
