               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.076248,            0.015912,           0.0098305,             0.79455,             0.70053,             0.72929,             0.33993,            0.033353,           0.0043683,           0.0030558,            0.070057,            0.003327,            0.003327
                   1,            0.048338,            0.010452,           0.0049437,             0.87554,             0.72798,             0.78197,             0.35971,            0.031349,           0.0039067,           0.0027675,            0.040041,           0.0066438,           0.0066438
                   2,            0.041134,           0.0094841,           0.0043058,               0.869,             0.71491,             0.77292,             0.37569,            0.030433,           0.0042844,           0.0024906,            0.010008,           0.0099442,           0.0099442
                   3,            0.036741,           0.0090344,           0.0039535,             0.89829,             0.72118,             0.78936,             0.41041,            0.029248,           0.0039119,           0.0027355,           0.0099258,           0.0099258,           0.0099258
                   4,            0.033538,           0.0084549,           0.0037342,             0.91238,             0.72136,             0.78554,             0.42814,            0.028745,           0.0037382,           0.0027449,           0.0099258,           0.0099258,           0.0099258
                   5,            0.031672,           0.0081045,           0.0035649,             0.89181,             0.72374,             0.78223,             0.42234,             0.03001,           0.0037797,             0.00241,            0.009901,            0.009901,            0.009901
                   6,            0.030663,            0.007873,           0.0035125,             0.90445,             0.74783,             0.79832,             0.44541,             0.02752,           0.0035169,           0.0024142,           0.0098763,           0.0098763,           0.0098763
                   7,            0.029896,           0.0076744,           0.0034984,             0.92915,             0.71212,             0.79249,             0.46718,            0.027255,           0.0038224,           0.0024571,           0.0098515,           0.0098515,           0.0098515
                   8,            0.029265,           0.0075789,           0.0033832,             0.90825,             0.73579,             0.80297,             0.45884,            0.027535,           0.0035983,           0.0024541,           0.0098268,           0.0098268,           0.0098268
                   9,            0.028782,           0.0074388,           0.0034105,             0.90484,             0.73316,             0.80765,             0.45804,            0.027451,           0.0037697,            0.002635,            0.009802,            0.009802,            0.009802
                  10,            0.028284,           0.0073983,           0.0033846,             0.90369,             0.75498,             0.80478,             0.46153,            0.027943,           0.0036791,           0.0028284,           0.0097773,           0.0097773,           0.0097773
                  11,            0.027982,           0.0073241,           0.0033565,             0.91513,             0.73499,             0.80448,             0.48296,            0.026946,           0.0036282,           0.0030767,           0.0097525,           0.0097525,           0.0097525
                  12,            0.027683,            0.007197,           0.0033423,             0.93129,             0.72867,             0.80841,             0.47353,            0.026902,           0.0035638,           0.0029767,           0.0097278,           0.0097278,           0.0097278
                  13,            0.027363,           0.0071545,           0.0032743,             0.90194,             0.73929,             0.80396,             0.46187,             0.02764,           0.0037682,           0.0025161,            0.009703,            0.009703,            0.009703
                  14,            0.027268,           0.0071518,           0.0033415,             0.90464,             0.75594,             0.81424,             0.46988,            0.027562,           0.0035668,           0.0027116,           0.0096783,           0.0096783,           0.0096783
                  15,            0.026961,           0.0070869,           0.0032797,              0.9396,             0.74703,             0.81932,             0.49026,            0.026524,           0.0035578,           0.0027244,           0.0096535,           0.0096535,           0.0096535
                  16,            0.026837,           0.0070516,           0.0033327,             0.91466,             0.75044,             0.81224,             0.48649,            0.026816,            0.003606,           0.0026484,           0.0096288,           0.0096288,           0.0096288
                  17,            0.026552,           0.0070154,             0.00324,             0.93418,             0.74126,             0.81252,             0.48614,             0.02675,            0.003575,           0.0026768,            0.009604,            0.009604,            0.009604
                  18,            0.026503,           0.0069996,           0.0032861,             0.93605,             0.75772,             0.82407,             0.48468,            0.026811,           0.0034003,           0.0027957,           0.0095793,           0.0095793,           0.0095793
                  19,            0.026298,           0.0069566,           0.0032171,             0.92165,             0.75087,             0.82037,             0.48199,            0.026845,           0.0034808,           0.0027274,           0.0095545,           0.0095545,           0.0095545
